winner,matchup
Duke,"{'team_a': 'Duke', 'team_b': 'American University', 'team_a_seed': 1, 'team_b_seed': 16, 'round': 1}"
Baylor,"{'team_a': 'Mississippi State', 'team_b': 'Baylor', 'team_a_seed': 8, 'team_b_seed': 9, 'round': 1}"
Oregon,"{'team_a': 'Oregon', 'team_b': 'Liberty', 'team_a_seed': 5, 'team_b_seed': 12, 'round': 1}"
Arizona,"{'team_a': 'Arizona', 'team_b': 'Akron', 'team_a_seed': 4, 'team_b_seed': 13, 'round': 1}"
VCU,"{'team_a': 'BYU', 'team_b': 'VCU', 'team_a_seed': 6, 'team_b_seed': 11, 'round': 1}"
Wisconsin,"{'team_a': 'Wisconsin', 'team_b': 'Montana', 'team_a_seed': 3, 'team_b_seed': 14, 'round': 1}"
Saint Mary's,"{'team_a': ""Saint Mary's"", 'team_b': 'Vanderbilt', 'team_a_seed': 7, 'team_b_seed': 10, 'round': 1}"
Alabama,"{'team_a': 'Alabama', 'team_b': 'Robert Morris', 'team_a_seed': 2, 'team_b_seed': 15, 'round': 1}"
Houston,"{'team_a': 'Houston', 'team_b': 'SIU Edwardsville', 'team_a_seed': 1, 'team_b_seed': 16, 'round': 1}"
Gonzaga,"{'team_a': 'Gonzaga', 'team_b': 'Georgia', 'team_a_seed': 8, 'team_b_seed': 9, 'round': 1}"
Clemson,"{'team_a': 'Clemson', 'team_b': 'McNeese', 'team_a_seed': 5, 'team_b_seed': 12, 'round': 1}"
Purdue,"{'team_a': 'Purdue', 'team_b': 'High Point', 'team_a_seed': 4, 'team_b_seed': 13, 'round': 1}"
Illinois,"{'team_a': 'Illinois', 'team_b': 'Texas', 'team_a_seed': 6, 'team_b_seed': 11, 'round': 1}"
Kentucky,"{'team_a': 'Kentucky', 'team_b': 'Troy', 'team_a_seed': 3, 'team_b_seed': 14, 'round': 1}"
UCLA,"{'team_a': 'UCLA', 'team_b': 'Utah State', 'team_a_seed': 7, 'team_b_seed': 10, 'round': 1}"
Tennessee,"{'team_a': 'Tennessee', 'team_b': 'Wofford', 'team_a_seed': 2, 'team_b_seed': 15, 'round': 1}"
Auburn,"{'team_a': 'Auburn', 'team_b': 'Alabama State', 'team_a_seed': 1, 'team_b_seed': 16, 'round': 1}"
Louisville,"{'team_a': 'Louisville', 'team_b': 'Creighton', 'team_a_seed': 8, 'team_b_seed': 9, 'round': 1}"
